"Taxon","Name","Type"
"Target","FVIR F","Oligo"
"Target","FVIR R","Oligo"
"Target","FVIR P","Oligo"
"Bouchardina robisoni","KF827974.1 Bouchardina robisoni voucher KC5625 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Cambarus deweesae","MK773653.1 Cambarus deweesae isolate Coal Creek 017 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Cambarus miltus","KF827990.1 Cambarus miltus voucher KC5176 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Cambarus unestami","KM099335.1 Cambarus unestami haplotype 1 cytochrome c oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Creaserinus byersi","MN788495.1 Creaserinus byersi isolate MMCHAP02 cytochrome c oxidase subunit 1 (COI) gene partial cds mitochondrial","Template"
"Fallicambarus kountzeae","KC163626.1 Fallicambarus kountzeae voucher DJ62 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Fallicambarus wallsi","KC163622.1 Fallicambarus wallsi voucher DJ313 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonella blairi","KX238159.1 Faxonella blairi cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius durelli","MG872930.1 Faxonius durelli isolate JF2576 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius forceps","MG872950.1 Faxonius forceps isolate JF3881 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius limosus","MT192786.1 Faxonius limosus isolate DNAS-4C3-6F5R cytochrome c oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius peruncus","MG872937.1 Faxonius peruncus isolate JF1289 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius placidus","MG872952.1 Faxonius placidus isolate JF1989 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Faxonius quadruncus","MG872940.1 Faxonius quadruncus isolate JF1305 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Hobbseus valleculus","AY701193.1 Hobbseus valleculus cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Orconectes incomptus","EU583561.1 Orconectes incomptus voucher JF2828 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Orconectes virilis","KT959458.1 Orconectes virilis voucher USNM:IZ:1286766 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial","Template"
"Procambarus acherontis","KX238171.1 Procambarus acherontis cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus ancylus","KX238176.1 Procambarus ancylus cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus bivittatus","KX238179.1 Procambarus bivittatus cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus clarkii","KP976369.1 Procambarus clarkii voucher ihb201306706 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial","Template"
"Procambarus howellae","KX238195.1 Procambarus howellae cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus leonensis","KX238201.1 Procambarus leonensis cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus litosternum","KX238203.1 Procambarus litosternum cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus paeninsulanus","JF737536.1 Procambarus paeninsulanus voucher KC3893 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus pubischelae","KX238219.1 Procambarus pubischelae deficiens cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus rogersi","KX238227.1 Procambarus rogersi campestris cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus simulans","KX238232.1 Procambarus simulans cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus versutus","JF737745.1 Procambarus versutus voucher KC4068 cytochrome oxidase subunit I (COI) gene partial cds mitochondrial","Template"
"Procambarus viaeviridis","KX417113.1 Procambarus viaeviridis isolate JF15129 cytochrome c oxidase subunit I (COI) gene partial cds mitochondrial","Template"
